dataset,workload,nodes,edges,threads,run_id,is_warmup,stage,category,time_ms,in_wall_clock
patents,snap,3774768,16518948,64,3,0,buildNodeIndex,OFFLINE,4506.790,1
patents,snap,3774768,16518948,64,3,0,index copy (src),OFFLINE,523.720,1
patents,snap,3774768,16518948,64,3,0,initProbeSide (dst),OFFLINE,529.280,0
patents,snap,3774768,16518948,64,3,0,initProbeSide (src),OFFLINE,540.620,0
patents,snap,3774768,16518948,64,3,0,initProbeSide (wall),OFFLINE,541.300,1
patents,snap,3774768,16518948,64,3,0,deduplicateRows (dst),ONLINE,15.570,0
patents,snap,3774768,16518948,64,3,0,deduplicateRows (src),ONLINE,15.650,0
patents,snap,3774768,16518948,64,3,0,probe dst,ONLINE,1501.600,0
patents,snap,3774768,16518948,64,3,0,probe src,ONLINE,1507.720,0
patents,snap,3774768,16518948,64,3,0,reduplicateRows (dst),ONLINE,32.240,0
patents,snap,3774768,16518948,64,3,0,reduplicateRows (src),ONLINE,35.190,0
patents,snap,3774768,16518948,64,3,0,unionWith (dst),ONLINE,19.360,0
patents,snap,3774768,16518948,64,3,0,unionWith (src),ONLINE,26.380,0
patents,snap,3774768,16518948,64,3,0,src branch (total),ONLINE,1584.960,0
patents,snap,3774768,16518948,64,3,0,parallel_sort (dst),ONLINE,407.620,0
patents,snap,3774768,16518948,64,3,0,dst branch (total),ONLINE,1976.450,0
patents,snap,3774768,16518948,64,3,0,parallel branches (wall),ONLINE,2020.360,1
patents,snap,3774768,16518948,64,3,0,unionWith (final),ONLINE,22.040,1
patents,snap,3774768,16518948,64,3,0,CSV write,IO,6998.740,1
patents,snap,3774768,16518948,64,4,0,CSV read (account),IO,1372.090,1
patents,snap,3774768,16518948,64,4,0,CSV read (txn),IO,13471.630,1
patents,snap,3774768,16518948,64,4,0,buildNodeIndex,OFFLINE,4242.850,1
patents,snap,3774768,16518948,64,4,0,index copy (src),OFFLINE,515.350,1
patents,snap,3774768,16518948,64,4,0,initProbeSide (dst),OFFLINE,552.190,0
patents,snap,3774768,16518948,64,4,0,initProbeSide (src),OFFLINE,562.630,0
patents,snap,3774768,16518948,64,4,0,initProbeSide (wall),OFFLINE,563.400,1
patents,snap,3774768,16518948,64,4,0,deduplicateRows (src),ONLINE,13.790,0
patents,snap,3774768,16518948,64,4,0,deduplicateRows (dst),ONLINE,16.550,0
patents,snap,3774768,16518948,64,4,0,probe src,ONLINE,1467.270,0
patents,snap,3774768,16518948,64,4,0,probe dst,ONLINE,1466.260,0
patents,snap,3774768,16518948,64,4,0,reduplicateRows (dst),ONLINE,36.920,0
patents,snap,3774768,16518948,64,4,0,reduplicateRows (src),ONLINE,39.800,0
